f1,f2,f3,f4,f5,label
0.1450239334994952,0.2893591783240662,0.7131093608194299,0.8400680422500647,0.3444835301792992,0
0.2335437075158659,0.8998736068949588,0.4801453512526343,0.4392094096195177,0.3690935859799249,1
0.4150219806729505,0.7209784500557587,0.7956947465771179,0.2208449000090171,0.0352452942607482,1
0.3042311580625533,0.7663831616372211,0.3792204238203163,0.8592573199718946,0.8643105342477794,1
0.8645170059897953,0.782989501822373,0.6561588578346187,0.0311798960493003,0.0722522821754196,1
0.3997999078306024,0.0876625159127335,0.4755220806650699,0.667490027228037,0.2076393152786296,0
0.1633799595464758,0.6326186557419462,0.0002293310948404,0.7195433251895405,0.9084226605691552,0
0.0131640004812036,0.0248950702444969,0.1577167055828313,0.3399962667597818,0.6083390436591033,0
0.9399872667645992,0.985687263072042,0.7509153306124684,0.5907687242567602,0.1637657782067757,1
0.0090867089795665,0.7082776120547472,0.829555638022496,0.0218773944217113,0.3839923764302779,1
0.2585999374061313,0.2976630984016734,0.2194458138520501,0.1290692138304076,0.7878845672620579,0
0.0560073824464744,0.5411778125662743,0.7944529438773466,0.6525149711746784,0.7406603457604253,0
0.9216819401263864,0.3037154383886498,0.5745658720087261,0.534831693204853,0.2916227904337636,1
0.8553725475175981,0.7193752511673979,0.6099134462532094,0.4123399723551121,0.2980435303451272,1
0.3696934172397468,0.2673661564529356,0.7216986193272963,0.2976313292100562,0.1823561073999747,1
0.6004100689554477,0.1058335917469615,0.4581174791783211,0.3921248576070648,0.61304494007303,0
0.6547816208572448,0.0435290700361091,0.9529446492521084,0.6775691383541389,0.3876447350726417,0
0.8608354847849848,0.6507060432573024,0.6739615386345157,0.5666195937973405,0.1604952708256461,1
0.0160760582680862,0.8374471769686943,0.3098877691437434,0.1279447730976863,0.5857928146387612,1
0.0117645209549908,0.1858685060598784,0.3139507109020147,0.8415253005312413,0.650890632335131,0
0.4347100614482422,0.2856456458808915,0.3339034153711049,0.8244060781032552,0.831090568695801,0
0.5263418067311709,0.2950442199683623,0.2496470578451003,0.3023077733400358,0.7918765168636357,0
0.8332471384527987,0.7404868455932376,0.9314145391776716,0.2652273464911157,0.4705127426128034,1
0.3401203614109247,0.7250502740108528,0.0240295934062411,0.4316525124255994,0.855106373259479,0
0.4698308022719673,0.9458777154513652,0.9501820995208128,0.5432748012633768,0.9321132415277192,1
0.6795756362506898,0.2740320705417055,0.994471371047855,0.6591950306905143,0.6816084250834858,1
0.1022191142214448,0.1747897130288166,0.6232960306443713,0.7095594022512582,0.8210325750005162,1
0.8524402244408897,0.8520175527061525,0.963967121178678,0.385387769760471,0.0227882518415769,1
0.5504082366703218,0.4531912293496315,0.6292193743630791,0.2702217348046658,0.0148105374453756,1
0.7332392621258615,0.0616027576578507,0.2146533789455813,0.5948615387975923,0.6331735496311175,0
0.9962074913725784,0.8795284683685385,0.3892922691562697,0.4904077100540585,0.882310115040271,1
0.5332637065017847,0.0534970036605657,0.1287037211577604,0.9756628267140268,0.9380236798724862,0
0.1546685002083163,0.4554839645576183,0.7153437315891656,0.7607450218018426,0.7352718422218435,0
0.1293172947142655,0.3249217757764961,0.2476032861248948,0.9999111577462362,0.2947981816968315,0
0.3740993158553204,0.9177909560918408,0.3503786823324103,0.2379733229785818,0.9695589285391388,1
0.2603361642243211,0.1278191535080227,0.5506967421200655,0.8212984958008184,0.1255964787301027,0
0.810935201687654,0.2859762801389643,0.9066420873042212,0.7619923108808795,0.9799847525577132,1
0.7893647497301456,0.3377360446887282,0.4139706725113883,0.4551890454265854,0.4507027074301259,0
0.7992403551640092,0.3166500991643103,0.7979572112409326,0.3829212030519781,0.8313035653624881,1
0.9085576052023736,0.5692860820789619,0.1175189881755739,0.1418868016397132,0.9726686877923248,0
0.0430994615707031,0.4779294407710502,0.3149955419872754,0.1881532371872087,0.0139991815099116,0
0.152715705508827,0.6290365993366205,0.3473061530745243,0.7483267483210839,0.9905698107828472,0
0.6988630527068913,0.3923912942188929,0.3158631429215925,0.0786502195189796,0.7017665199786813,0
0.3436300559989497,0.1828485066609722,0.3922062666923669,0.0937177219006848,0.9574926393519696,0
0.5815734965965526,0.8831726142471416,0.1402738419056739,0.1916981691640096,0.056250038757628,0
0.54350207222301,0.9409467413769218,0.0472053651066772,0.3531136148795841,0.0122899389783235,0
